studyName,studyFullName,studyCategoryId,studyCategory,studyDetail,studyStatus,studyType,startYear,endYear,sponsorName,studyDesign,noOfCountries,noOfSites,noOfParticipants
TARGET Pilot,Intensive vs liberalized phosphate control in hemodialysis recipients (Two phosphAte taRGets in End-stage Renal Disease Trial),1,Renal,"To evaluate if an intervention that compares two phosphate control strategies can result in separation in serum phosphate values over the period of study follow up (26 weeks).

",Publication,Interventional - Drug,2014,2014,PHRI,,1,5,104
TCOM,"Transcutaneous oximetry, transcutaneous carbon dioxide and supplemental oxygen therapy in lower limb amputations - An observational study",9,Perioperative,"To determine the ability of transcutaneous oximetry and transcutaneous carbon dioxide measurements in the legs of patients undergoing below-knee amputation to predict amputation wound healing failure and revision. 

1) To determine the ability of transcutaneous oximetry and transcutaneous CO2 measurements in the legs of patients undergoing below-knee amputation to predict amputation wound healing failure (defined as the need for amputation revision) and all-cause mortality at 30-days post-amputation.
2) To determine an optimum cut-off value for both transcutaneous oximetry and transcutaneous CO2 levels for predicting the occurrence of the first co-primary outcome (revision amputation to higher level or mortality).",Publication,Observational,2011,2014,PHRI,,1,4,41
TEACH2,TEACH2,10,Stroke,Apixiban use in cancer-related cryptogenic stroke,New,Interventional - Drug,2026,2030,,,,70,630
TheRAPy,,22,Other,,Planning,,2024,2025,,,,4,18000
TIDE,Thiazolidinedione Intervention with vitamin D Evaluation (TIDE),3,Diabetes,"To evaluate the effect of treatment with thiazolidineiones (TZD) on cardiovascular morbidity and mortality and is expected to be the definitive trial regarding the role of TZDs in the prevention of cardiovascular events in people with type 2 diabetes mellitus

the composite of CV death, non-fatal MI, non-fatal stroke, and significant heart failure; Secondary endpoints: he composite of CV death, nonfatal myocardial infarction, or nonfatal stroke, revascularization, hospitalization for congestive heart failure; total mortality; cardiovascular mortality; major coronary heart disease events, total strokes, microvascular complications of diabetes. All endpoints are adjudicated
",Follow Up,Interventional - Drug,2009,2011,,,35,350,1634
TIMACS,Early Versus Delayed Timing of Intervention in Patients with Acute Coronary Syndromes,7,Acute Coronary Syndromes,"To compare relative efficacy, safety, and cost effectiveness of a management strategy of coronary angiography and intervention performed within 24 hours of randomization versus delayed coronary angiography and intervention in patients after 36 hours with ACS.",Publication,Interventional - Procedure,2003,2008,PHRI,,14,38,3031
TIMING,Timing of second dose of SARS-CoV2- mRNA vaccine on Immunologic and Neutralizing Antibody Responses Generated in Healthcare workers: a real world study,4,Infectious Diseases,"The problem being addressed: As of January 2021, a marked and unexpected reduction in the supply of the mRNA vaccines to Canada has led to a policy change of delaying the second dose of the Pfizer vaccine to healthcare workers (HCW) up to 35 to 42 days. There is little evidence to support this policy, which could be harmful if immunity diminishes to low levels, leaving HCWs at risk of infection before the delayed second dose. Furthermore, there is no data to inform how dosing schedules may impact on the secondary immune responses and long term immunity. However, this policy represents a potential natural experiment and an opportunity to study the impact of dosing schedule on vaccine immunogenicity as it relates to short and long term immunity. Since the sequence and timing interval of dosing to HCWs are largely randomly generated; the variation in time interval between the first and second vaccine doses is unbiased and unaffected by any factors other than by chance. 

Questions: We therefore propose an opportunistic study in which we will study and address the following questions: (1) What are the cellular immune responses and humoral responses to the first dose of mRNA vaccine up to 42 days and following the second dose up to 12 months. (2) How does the dosing schedule impact on the secondary immune responses and long term immunity. The study will be conducted in HCWs, a high risk group across 3 tertiary hospitals in Hamilton, Ontario, Canada. 

Objectives: 
Primary Objectives
1. Examine the NAb levels and cellular immune responses at days 35-42 compared to day 21 following the first dose of mRNA vaccine.  
2. Characterize the profile of NAb and cellular immune responses following the first dose of vaccine up to 42 days and following the second dose up to 12 months
3. Contrast the profiles of NAb and cellular immune responses between 21-day dosing interval (correct cohort) versus delayed 35-42 day dosing (delayed cohort) interval of vaccine.
Secondary Objective. 
The secondary objective will be exploratory as the study is not powered to examine this objective. The findings will help to guide the planning of a larger study to address this particularly question. 
1. To explore the threshold levels for NAbs and cellular immunity associated with significant reduction in infection risk of symptomatic SARS-CoV2 infection
",Publication,Observational,2021,2023,PHRI,,1,1,317
TIPS,The Indian Polycap Study,8,CVD Prevention,"To assess the efficacy and safety of the POLYCAPÂ®, a fixed dose combination containing 5 drugs (an antiplatelet drug; 3 blood pressure lowering agents, a beta blocker, an ACE inhibitor, a diuretic and a statin. It is the first completed trial of polypill and tets primarily th efeasibility and pharmacological effects of various polypill preparations.

The primary endpoints are Reduction in blood Pressure, Reduction in Heart Rate, Modify lipids. Secondary endpoints: Platelet aggregation. Not adjudicated
",Publication,Interventional - Drug,2007,2009,,,1,70,2050
TIPS-2,The evaluation of the Polycap in two doses,8,CVD Prevention,"To evaluate full daily doses of the components of the Polycap in 518 subjects with stable CVD or elevated risk factors. Participants were randomized to single dose Polycap (half dose; as in TIPS-1) or two doses of the Polycap (full dose).

",Publication,Interventional - Drug,2010,2011,Cadila,,1,53,2053
TIPS-3,A randomized double-blind placebo-controlled trial for the evaluation of a polypill (with and without aspirin) and vitamin D supplementation in a primary prevention setting to reduce cardiovascular disease (CVD) outcomes - The International Polycap Study 3,8,CVD Prevention,"To evaluate a polypill (with and without aspirin) and vitamin D supplementation in a primary prevention setting to reduce cardiovascular disease (CVD) outcomes

",Publication,Interventional - Drug,2012,2021,PHRI,,9,108,7542
TIPS3-WELLCOME TRUST,,,,,,,,,,,,,
TOF-LIFE,Tetralogy of Fallot for Life,17,Cardiac Surgery,"A large multicentre, international prospective cohort study to determine the association between baseline cardiac morphology, surgical repair technique (VSD closure and managing the RVOT), and RV physiology and morphology at 2 years. Primary outcomes will be obtained from echocardiogram studies: indexed RV diastolic dimension, RV/LV diastolic diameter ratio, RV function and LV function, residual RVOT obstruction, and pulmonary insufficiency.",Publication,Observational,2015,2022,PHRI,,12,20,1137
TOTAL,Randomized trial of routine aspiration ThrOmbecTomy with Percutaneous Coronary Intervention (PCI) versus PCI ALone in patients with STEMI undergoing primary PCI,7,Acute Coronary Syndromes,"To determine if aspiration thrombectomy can reduce the rate of cardiovascular death, re-infarction, cardiogenic shock or new or worsening NYHA Class IV heart failure in patients with STEMI undergoing primary PCI.",Publication,Interventional - Device,2010,2015,PHRI,,20,115,10757
TOTAL STUDY,,,,,,,,,,,,,
TRANSCEND,Telmisartan Randomized AssessmeNt Study in aCE iNtolerant Subjects with Cardiovascular Disease. A Parallel Study Comparing the Effects of Telmisartan With Placebo and Outcomes in Patients at High Risk for Cardiovascular Events and Intolerant to ACE-I.,8,CVD Prevention,"A Parallel Study (with ONTARGET) comparing the effects of Telmisartan with placebo and outcomes in patients at high risk for cardiovascular events and intolerant to ACE-I.  Large, simple, randomized, double-blind, multicentre, international trial.",Publication,Interventional - Drug,2001,2008,Boehringer Ingelheim,,40,650,5926
UNIVERSAL Trial,routine UltrasouNd guiIdance for Vascular accEss foR cardiac procedureS: A randomized triaL,7,Acute Coronary Syndromes,"A randomized, controlled trial to determine whether the use of ultrasound guidance for vascular access during coronary angiography or percutaneous coronary intervention (PCI) will reduce the rates of major vascular complications.",Publication,Interventional - Procedure,2018,2022,PHRI,,1,2,623
USUAL CARE COHORT,,,,,,,,,,,,,
VELETI II,Sealing Moderate Coronary Saphenous VEin Graft Lesions with Paclitaxel-Eluting Stents and/or PROMUS Element TMstent as a New Approach to MainTainingVeIn Graft Patency and Reducing Cardiac Events,7,Acute Coronary Syndromes,"To evaluate the efficacy of stenting moderate SVG lesions with paclitaxel-eluting stents and/or PROMUS Element stent on reducing the first occurrence of the composite of cardiac death, myocardial infarction or repeat revascularization related to the target SVG over the duration of follow-up.",Publication,Interventional - Device,2011,2016,PHRI,,1,16,125
